index,raw,tags,usecase,awareness,date,link_url
487,马格里布的文化遗产Fantasia是一项结合枪支、骑术与传统的表演。许多骑士穿上传统服饰Djellaba，配上宽松的裤子，手里拿着传统的火枪，骑着马匹。待一队骑手聚集列队后，听到发号声便会开始策马前进，再听到一声发号声，就一起扣下板机，枪齐声而响，壮丽非常。,表演;骑术;传统,Fantasia表演结合了枪支、骑术和传统元素，许多骑士穿着传统服饰Djellaba骑着马匹，手持传统火枪，待发号后策马前进，一起扣下板机，枪声震耳欲聋，场面壮观。这个话题可以引发讨论表演艺术与传统文化的融合，以及古老技艺在现代的传承与演绎。,,2024/06/05,https://ejn8zf8z9a.feishu.cn/record/ZfG2ryEWuezWcDcGlYXcQHFKnBe
486,马格里布地区是其主要居住者柏柏尔人的原乡。柏柏尔人是阿尔及利亚(80%)、利比亚(>60%)、摩洛哥(80%)和突尼斯(>88%)的主体民族。,地理;人口学,讨论马格里布地区的柏柏尔人作为主体民族的分布情况及其对各国的影响,,2024/06/05,https://ejn8zf8z9a.feishu.cn/record/XmTRrVhzGemFe0cIcLIc45LJnFd
485,1989年，在卡扎菲的发起下，摩洛哥、阿尔及利亚、突尼斯和利比亚四国联合成立了阿拉伯马格里布联盟，其后毛里塔尼亚也加入该联盟。,历史;政治;国际关系,根据1989年卡扎菲发起成立阿拉伯马格里布联盟的背景，可以讨论关于阿拉伯国家合作、地区整合以及非洲国际关系的议题。,,2024/06/05,https://ejn8zf8z9a.feishu.cn/record/XhR2r6xB5ezBPJcIxaxc1J4unxe
484,在道教中，也有类似于止观双运的修行方法，称为“内丹术”，强调通过修炼精气神，来达到身心健康和超凡入圣的境界,道教;内丹术;修行方法,讨论道教中的内丹术，探讨修炼精气神对身心健康和提升境界的影响，比较其与止观双运等修行方法的异同点,,2024/06/05,https://ejn8zf8z9a.feishu.cn/record/SsMPrzPlGegTK2chRXZcmTV2nIb
483,在佛教中，止观双运被视为一种重要的修行方法，不同的佛教传统和学派可能会有不同的解释和实践方式。例如，在小乘佛教中，止观双运通常被称为“四念处”，即通过观察身体、感受、心念和法的本质，来培养专注力和洞察力。而在大乘佛教中，止观双运则被视为菩萨道的核心修行方法之一，强调通过发菩提心和行六度万行，来实现止观双运和究竟解脱。,佛教;修行方法;止观双运,在讨论佛教修行方法时，可以引用止观双运作为一个重要的话题，探讨小乘和大乘佛教对于止观双运的不同理解和实践方式，以及其在修行中的作用和意义。,,2024/06/05,https://ejn8zf8z9a.feishu.cn/record/Kef6rd85TepAL9cvqeScTg8Pn6c
482,「无为法」;谓色心诸行实性。易言之，即一切有为法的实体,佛学;无为法;有为法,在佛学讨论中，可以探讨无为法和有为法之间的关系，以及色心诸行的实性。或讨论无为法如何指导我们在日常生活中的应对方式。,,2024/06/05,https://ejn8zf8z9a.feishu.cn/record/R2d2r8HJEePcXscE2OmcyjQZnzf
481,「有为法」;谓即色心诸行是,有为法;谓即色心诸行是,在佛学中，有为法是指相对真实存在的法，谓即色心诸行是可以作为一个讨论话题。,,2024/06/05,https://ejn8zf8z9a.feishu.cn/record/FBdkruiS1ebCKtc5JZdcwAA2n2g
480,「十八界」;六根、六捷、六识、合名十八界,十八界;六根;六捷;六识,在佛学或心灵修行领域，讨论十八界以及其中包含的六根、六捷、六识的概念，探讨它们在修行实践中的作用和意义,,2024/06/05,https://ejn8zf8z9a.feishu.cn/record/YFlMr7G7gevzuecydjgcJKhxnwf
479,《太平御览》采以群书类集之，凡分五十五部五百五十门而编为千卷，所以初名为《太平总类》。书成之后，宋太宗每天看三卷，一年后读完，所以又更名为《太平御览》,历史;文学;宫廷,以《太平御览》为例，探讨中国古代宫廷文化对文学产出的影响，以及宋太宗对文化传承的重视,,2024/06/05,https://ejn8zf8z9a.feishu.cn/record/ClZXrCub8e54CacD8dHcyJ42n2e
478,在传统文字学的范畴，“文，字，文字”是不同的概念。文字如果偏“字”，与声结合互动发展，当然是在语言之後，但如果指“文”，即一般的表意视觉符号（物象之本）或类似裘锡圭先生书中的广义文字，包括图画，结绳，手势等等，与语言的前后关系目前还难以定论，其相关假设需基于实际现象，相关实验与问题需要来定。,文字学;文;字;语言,在讨论传统文字学中的概念时，可以引入讨论文字、文和字之间的区别与联系，探讨文字与语言的关系，以及相关的实际现象、实验和问题,,2024/06/05,https://ejn8zf8z9a.feishu.cn/record/GmlGraJi9eLqRjcFitfcIJghnHl
477,Agent的本质是基于LLM调度Tools,AI;自然语言处理;机器学习,探讨Agent技术在基于LLM调度Tools上的应用和发展,,2024/06/04,https://ejn8zf8z9a.feishu.cn/record/Fwq9r5P5WeWhJ4c421CcpUIjnBc
476,印度教有一个财神金色的皮肤，手上托着香橼名字叫做巨皮罗,宗教;文化;传统,探讨印度教中的财神形象，以及对金色皮肤和名字巨皮罗的象征意义,,2024/06/04,https://ejn8zf8z9a.feishu.cn/record/JmPXrsby1eHAH9cclmCcZOHHnSS
475,犹太人有一个叫做住棚节的节日，这个节日的时候，拉比要去选最完美的香椽据说一个要有几百美金,文化;宗教,在跨文化比较的语境下讨论不同宗教节日的庆祝方式和意义,,2024/06/04,https://ejn8zf8z9a.feishu.cn/record/L8osrX7ike1mEmckYSOcY1xunfb
474,美第奇家族曾经收藏，他们认为各种奇特的柑橘类,历史; 文化,探讨美帝家族对奇特柑橘类的收藏背后的文化意义,,2024/06/04,https://ejn8zf8z9a.feishu.cn/record/PEFHrqTtoeAQWTcmmtPczgnqnsc
473,"拨云见日，老麻抄手
拨云见日是昙字，老麻抄手是摩字。昙摩
",昙字;摩字,在讨论中国字体形态演变时，可以以拨云见日和老麻抄手等字体作为例子进行引用和讨论,,2024/06/04,https://ejn8zf8z9a.feishu.cn/record/XtrQrDKAXeufrEcUIqoc5Hgnnlc
